0,emplacement,nourriture,animal,activite,date,vehicule
1,emplacement,italie,grece,espagne,belgique
1,nourriture,boissons,fruit,patates,legumes
2,nourriture,fruit,banane,ananas,peche,mangue
2,nourriture,legumes,courgette,carotte,poireau,poivron
1,animal,insect,reptile,mammifere,oiseau
2,animal,insect,bousier,scarabee,moustique
2,animal,reptile,crocodile,lezard,serpent
2,animal,mammifere,furet,humain,ours
1,activite,jeux,sport,profession,entreprise
2,activite,profession,pompier,boucher,astronaute,fleuriste,medecin
1,date,fevrier,janvier,decembre,mars
2,date,fevrier,10/02,05/02,07/02,01/02,22/02
2,date,janvier,20/01,30/01,28/01
2,date,decembre,01/12,noel,10/12,16/12
2,date,mars,20/03,07/03,10/03
1,vehicule,avion,bateau,fusee,train
2,vehicule,avion,mongolfiere,avion-de-tourisme,jet-prive
2,vehicule,bateau,pedalo,yacht,voilier
2,vehicule,fusee,vaisseau-spatial,ISS,ariane,spatial-tesla,apollo13
2,vehicule,train,rer,locomotive,draisine,wagon,tram
