0,vehicule,date,activite,animal,emplacement,nourriture
1,vehicule,velo,bateau,fusee,voiture
2,vehicule,velo,velo-electrique,moto,bicyclette,trotinette,tricycle
2,vehicule,fusee,apollo13,rocket,OVNI
1,date,avril,octobre,decembre,janvier,fevrier
2,date,janvier,15/01,nouvel an,20/01
1,activite,profession,art,sport,entreprise
2,activite,sport,judo,natation,tennis,patinage
2,activite,entreprise,gestion de projet,management,co-working
1,animal,poisson,mammifere,oiseau,reptile
2,animal,mammifere,humain,furet,chien,vache
1,emplacement,angleterre,usa,grece,italie
2,emplacement,angleterre,brighton,liverpool,londres
2,emplacement,grece,patras,corinthe,athenes
1,nourriture,fastfood,patates,boissons,desserts,legumes
2,nourriture,fastfood,nugget,pizza,burritos,tacos
2,nourriture,patates,pomme dauphine,gnocchis,grattin dauphinois
2,nourriture,boissons,soda,vin,chocolat chaud
2,nourriture,desserts,tarte,glace,ile flottante,milkshake
